"Freq [GHz]","dB(St(1,1)) []"
13.18,-15.9071149234593
13.2,-14.5021784764627
13.22,-13.313838690773
13.24,-12.2910538353156
13.26,-11.3994758378237
13.28,-10.6147865125231
13.3,-9.91906080288342
13.32,-9.29864699204713
13.34,-8.74286469913327
13.36,-8.24317012031684
13.38,-7.7926011691399
13.4,-7.38539701154487
13.42,-7.01672994750474
13.44,-6.68251180288324
13.46,-6.37925104781618
13.48,-6.10394529840612
13.5,-5.85399906991323
13.52,-5.62715993010545
13.54,-5.42146829022269
13.56,-5.23521741473229
13.58,-5.06692112191019
13.6,-4.91528728515281
13.62,-4.77919575474278
13.64,-4.65767975463859
13.66,-4.5499101647365
13.68,-4.45518235083044
13.7,-4.37290534286785
13.72,-4.30259320974711
13.74,-4.24385847815067
13.76,-4.19640743467972
13.78,-4.16003715759249
13.8,-4.13463415261948
13.82,-4.12017451059863
13.84,-4.11672555566194
13.86,-4.12444900535063
13.88,-4.14360571625901
13.9,-4.17456214135541
13.92,-4.21779868048771
13.94,-4.27392016762766
13.96,-4.34366881185495
13.98,-4.42793999985094
14,-4.52780148376161
14.02,-4.64451663064933
14.04,-4.77957261417273
14.06,-4.93471470914617
14.08,-5.11198824043953
14.1,-5.31379029307213
14.12,-5.54293409420428
14.14,-5.80273016149756
14.16,-6.09709008763485
14.18,-6.43066154365258
14.2,-6.80900731374386
14.22,-7.23884791897787
14.24,-7.72839841545628
14.26,-8.28784850937718
14.28,-8.93006740497573
14.3,-9.67167310232611
14.32,-10.5347158621383
14.34,-11.5494435699207
14.36,-12.7590728066
14.38,-14.2284962660313
14.4,-16.0611528834687
14.42,-18.4329977051021
14.44,-21.650041726476
14.46,-25.9665726581419
14.48,-27.8692248932279
14.5,-23.6897345025229
14.52,-19.7872097886575
14.54,-16.9322125965937
14.56,-14.7576217305357
14.58,-13.0270537620686
14.6,-11.6051921343344
14.62,-10.4101542435532
14.64,-9.3891664990964
14.66,-8.5063372602581
14.68,-7.73615914146643
14.7,-7.05984126674758
14.72,-6.46312241075024
14.74,-5.93490290678357
14.76,-5.46635240314023
14.78,-5.05030714820577
14.8,-4.68085120941405
14.82,-4.35301939799678
14.84,-4.06258374646674
14.86,-3.8058991128356
14.88,-3.57979151800228
14.9,-3.3814776764939
14.92,-3.20850723614004
14.94,-3.05872123018933
14.96,-2.93022149275444
14.98,-2.82134634320407
15,-2.73064756588823
